Kronobergs län	Ljungby	1,876E+05	1,853E+05	2,235E+05	2,062E+05	1,904E+05	1,855E+05	1,753E+05	1,711E+05	1,698E+05	1,642E+05	1,606E+05
Kalmar län	Högsby	3,640E+04	3,292E+04	2,967E+04	2,793E+04	2,675E+04	2,455E+04	2,444E+04	2,367E+04	2,300E+04	2,238E+04	2,197E+04
Kalmar län	Torsås	3,813E+04	3,441E+04	3,088E+04	2,334E+04	2,355E+04	2,245E+04	2,157E+04	2,117E+04	2,088E+04	2,013E+04	2,080E+04
Kalmar län	Mörbylånga	2,201E+05	2,770E+05	2,989E+05	3,043E+05	3,155E+05	3,036E+05	2,774E+05	3,045E+05	2,922E+05	2,810E+05	2,908E+05
Kalmar län	Hultsfred	1,036E+05	8,077E+04	8,158E+04	6,988E+04	6,528E+04	6,090E+04	5,206E+04	4,785E+04	4,864E+04	4,561E+04	4,573E+04
Kalmar län	Mönsterås	6,678E+04	1,986E+05	9,820E+04	1,248E+05	1,204E+05	1,189E+05	1,043E+05	8,557E+04	6,745E+04	7,290E+04	5,670E+04
Kalmar län	Emmaboda	5,030E+04	4,865E+04	4,442E+04	3,407E+04	3,480E+04	3,247E+04	3,138E+04	2,960E+04	2,929E+04	2,875E+04	2,850E+04
Kalmar län	Kalmar	2,268E+05	1,802E+05	1,743E+05	1,869E+05	1,702E+05	1,569E+05	1,518E+05	1,474E+05	1,444E+05	1,405E+05	1,364E+05
Kalmar län	Nybro	9,276E+04	9,415E+04	8,330E+04	6,944E+04	6,749E+04	6,408E+04	6,229E+04	5,934E+04	5,806E+04	6,729E+04	6,734E+04
Kalmar län	Oskarshamn	1,397E+05	1,556E+05	1,308E+05	1,195E+05	1,101E+05	9,096E+04	8,671E+04	8,494E+04	8,111E+04	7,686E+04	7,956E+04
Kalmar län	Västervik	1,976E+05	1,789E+05	1,684E+05	1,516E+05	1,390E+05	1,334E+05	1,290E+05	1,352E+05	1,296E+05	1,315E+05	1,258E+05
Kalmar län	Vimmerby	7,651E+04	7,187E+04	8,670E+04	7,175E+04	6,758E+04	6,541E+04	6,204E+04	6,424E+04	5,811E+04	5,521E+04	5,671E+04
