Parameter	Chlorophyll_a	Basin	LARGE_basin
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
Chlorophyll_a	0,40	West Gotlandshavet	BalticProper
